modality,model,end_s,fold,bal_acc
VA,CSP+LDA,1.9,3,0.6333333333333333
VA,CSP+LDA,1.9,4,0.7166666666666667
VA,CSP+LDA,2.0,0,0.41666666666666663
VA,CSP+LDA,2.0,1,0.43333333333333335
VA,CSP+LDA,2.0,2,0.4666666666666667
VA,CSP+LDA,2.0,3,0.43333333333333335
VA,CSP+LDA,2.0,4,0.7166666666666667
VA,CSP+LDA,2.1,0,0.5
VA,CSP+LDA,2.1,1,0.25
VA,CSP+LDA,2.1,2,0.4666666666666667
VA,CSP+LDA,2.1,3,0.5333333333333333
VA,CSP+LDA,2.1,4,0.45
VA,CSP+LDA,2.2,0,0.3333333333333333
VA,CSP+LDA,2.2,1,0.35
VA,CSP+LDA,2.2,2,0.5666666666666667
VA,CSP+LDA,2.2,3,0.5333333333333333
VA,CSP+LDA,2.2,4,0.6166666666666667
VA,CSP+LDA,2.3,0,0.41666666666666663
VA,CSP+LDA,2.3,1,0.35
VA,CSP+LDA,2.3,2,0.4666666666666667
VA,CSP+LDA,2.3,3,0.43333333333333335
VA,CSP+LDA,2.3,4,0.7166666666666667
VA,CSP+LDA,2.4,0,0.3333333333333333
VA,CSP+LDA,2.4,1,0.25
VA,CSP+LDA,2.4,2,0.48333333333333334
VA,CSP+LDA,2.4,3,0.43333333333333335
VA,CSP+LDA,2.4,4,0.5333333333333333
VA,CSP+LDA,2.5,0,0.3333333333333333
VA,CSP+LDA,2.5,1,0.16666666666666666
VA,CSP+LDA,2.5,2,0.4666666666666667
VA,CSP+LDA,2.5,3,0.43333333333333335
VA,CSP+LDA,2.5,4,0.8166666666666667
VA,CSP+LDA,2.6,0,0.25
VA,CSP+LDA,2.6,1,0.25
VA,CSP+LDA,2.6,2,0.4666666666666667
VA,CSP+LDA,2.6,3,0.43333333333333335
VA,CSP+LDA,2.6,4,0.8166666666666667
VA,CSP+LDA,2.7,0,0.25
VA,CSP+LDA,2.7,1,0.16666666666666666
VA,CSP+LDA,2.7,2,0.4666666666666667
VA,CSP+LDA,2.7,3,0.43333333333333335
VA,CSP+LDA,2.7,4,0.7166666666666667
VA,CSP+LDA,2.8,0,0.3333333333333333
VA,CSP+LDA,2.8,1,0.16666666666666666
VA,CSP+LDA,2.8,2,0.5666666666666667
VA,CSP+LDA,2.8,3,0.43333333333333335
VA,CSP+LDA,2.8,4,0.7166666666666667
VA,CSP+LDA,2.9,0,0.3333333333333333
VA,CSP+LDA,2.9,1,0.16666666666666666
VA,CSP+LDA,2.9,2,0.4
VA,CSP+LDA,2.9,3,0.43333333333333335
VA,CSP+LDA,2.9,4,0.6166666666666667
VA,CSP+LDA,3.0,0,0.25
VA,CSP+LDA,3.0,1,0.26666666666666666
VA,CSP+LDA,3.0,2,0.4
VA,CSP+LDA,3.0,3,0.43333333333333335
VA,CSP+LDA,3.0,4,0.6166666666666667
VA,CSP+LDA,3.1,0,0.25
VA,CSP+LDA,3.1,1,0.3666666666666667
VA,CSP+LDA,3.1,2,0.4
VA,CSP+LDA,3.1,3,0.43333333333333335
VA,CSP+LDA,3.1,4,0.6166666666666667
VA,CSP+LDA,3.2,0,0.3333333333333333
VA,CSP+LDA,3.2,1,0.5833333333333334
VA,CSP+LDA,3.2,2,0.3833333333333333
VA,CSP+LDA,3.2,3,0.43333333333333335
VA,CSP+LDA,3.2,4,0.6166666666666667
VA,CSP+LDA,3.3,0,0.41666666666666663
VA,CSP+LDA,3.3,1,0.48333333333333334
VA,CSP+LDA,3.3,2,0.48333333333333334
VA,CSP+LDA,3.3,3,0.43333333333333335
VA,CSP+LDA,3.3,4,0.43333333333333335
VA,CSP+LDA,3.4,0,0.25
VA,CSP+LDA,3.4,1,0.2833333333333333
VA,CSP+LDA,3.4,2,0.48333333333333334
VA,CSP+LDA,3.4,3,0.43333333333333335
VA,CSP+LDA,3.4,4,0.5333333333333333
VA,CSP+LDA,3.5,0,0.3333333333333333
VA,CSP+LDA,3.5,1,0.3666666666666667
VA,CSP+LDA,3.5,2,0.4
VA,CSP+LDA,3.5,3,0.43333333333333335
VA,CSP+LDA,3.5,4,0.5333333333333333
VA,CSP+LDA,3.6,0,0.3333333333333333
VA,CSP+LDA,3.6,1,0.4666666666666667
VA,CSP+LDA,3.6,2,0.4
VA,CSP+LDA,3.6,3,0.43333333333333335
VA,CSP+LDA,3.6,4,0.43333333333333335
VA,CSP+LDA,3.7,0,0.41666666666666663
VA,CSP+LDA,3.7,1,0.4666666666666667
VA,CSP+LDA,3.7,2,0.3
VA,CSP+LDA,3.7,3,0.35
VA,CSP+LDA,3.7,4,0.5333333333333333
VA,CSP+LDA,3.8,0,0.41666666666666663
VA,CSP+LDA,3.8,1,0.3666666666666667
VA,CSP+LDA,3.8,2,0.4
VA,CSP+LDA,3.8,3,0.43333333333333335
VA,CSP+LDA,3.8,4,0.43333333333333335
VA,CSP+LDA,3.9,0,0.41666666666666663
VA,CSP+LDA,3.9,1,0.4666666666666667
VA,CSP+LDA,3.9,2,0.3
VA,CSP+LDA,3.9,3,0.35
VA,CSP+LDA,3.9,4,0.43333333333333335
VA,CSP+LDA,4.0,0,0.41666666666666663
VA,CSP+LDA,4.0,1,0.4666666666666667
VA,CSP+LDA,4.0,2,0.4
VA,CSP+LDA,4.0,3,0.35
VA,CSP+LDA,4.0,4,0.43333333333333335
VA,CSP+LDA,4.1,0,0.41666666666666663
VA,CSP+LDA,4.1,1,0.4666666666666667
VA,CSP+LDA,4.1,2,0.4
VA,CSP+LDA,4.1,3,0.35
VA,CSP+LDA,4.1,4,0.43333333333333335
VA,CSP+LDA,4.2,0,0.25
VA,CSP+LDA,4.2,1,0.5
VA,CSP+LDA,4.2,2,0.4
VA,CSP+LDA,4.2,3,0.35
VA,CSP+LDA,4.2,4,0.43333333333333335
VA,CSP+LDA,4.3,0,0.25
VA,CSP+LDA,4.3,1,0.5833333333333334
VA,CSP+LDA,4.3,2,0.4
VA,CSP+LDA,4.3,3,0.35
VA,CSP+LDA,4.3,4,0.5333333333333333
VA,CSP+LDA,4.4,0,0.25
VA,CSP+LDA,4.4,1,0.5833333333333334
VA,CSP+LDA,4.4,2,0.4
VA,CSP+LDA,4.4,3,0.35
VA,CSP+LDA,4.4,4,0.5333333333333333
VA,CSP+LDA,4.5,0,0.3333333333333333
VA,CSP+LDA,4.5,1,0.5833333333333334
VA,CSP+LDA,4.5,2,0.4
VA,CSP+LDA,4.5,3,0.35
VA,CSP+LDA,4.5,4,0.45
VA,CSP+LDA,4.6,0,0.25
VA,CSP+LDA,4.6,1,0.5833333333333334
VA,CSP+LDA,4.6,2,0.4
VA,CSP+LDA,4.6,3,0.35
VA,CSP+LDA,4.6,4,0.35
VA,CSP+LDA,4.7,0,0.25
VA,CSP+LDA,4.7,1,0.5833333333333334
VA,CSP+LDA,4.7,2,0.4
VA,CSP+LDA,4.7,3,0.35
VA,CSP+LDA,4.7,4,0.45
VA,CSP+LDA,4.8,0,0.16666666666666666
VA,CSP+LDA,4.8,1,0.5833333333333334
VA,CSP+LDA,4.8,2,0.4
VA,CSP+LDA,4.8,3,0.35
VA,CSP+LDA,4.8,4,0.35
VA,CSP+LDA,4.9,0,0.25
VA,CSP+LDA,4.9,1,0.6666666666666666
VA,CSP+LDA,4.9,2,0.4
VA,CSP+LDA,4.9,3,0.35
VA,CSP+LDA,4.9,4,0.45
VA,CSP+LDA,5.0,0,0.25
VA,CSP+LDA,5.0,1,0.75
VA,CSP+LDA,5.0,2,0.3
VA,CSP+LDA,5.0,3,0.35
VA,CSP+LDA,5.0,4,0.45
